SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
15	C13_SEB	0.077859	0.657000	0.600000	 1.779000	NA	 0.963	0.120	14.154	NA	0.794	NA	0.496	 12.199	0.580
16	C14_72h	0.051048	0.047311	0.929000	 0.510000	NA	 0.949	NA	NA	NA	NA	NA	0.339	 51.079	0.730
17	C14_PMA	1.911000	6.416000	3.636000	 4.346000	NA	 5.458	109.415	37.809	23.556	43.572	NA	0.656	NA	2.271
18	C14_SEB	0.102000	0.985000	0.682000	 3.692000	NA	10.987	1.034	16.227	1.900	2.196	0.065260	0.531	  8.973	1.246
19	C15_72h	0.163000	0.049480	1.457000	 0.349000	NA	 1.123	NA	NA	NA	NA	NA	0.782	104.667	1.261
20	C15_PMA	1.940000	3.511000	4.499000	 2.849000	NA	 4.350	59.110	15.119	32.022	52.503	NA	1.234	  2.348	5.806
21	C15_SEB	0.104000	0.798000	0.474000	 1.541000	NA	 1.021	0.443	5.551	0.745	0.296	0.070414	0.396	 12.865	0.786
22	C16_72h	0.047928	0.039164	1.084000	 0.389000	0.242000	 2.932	NA	NA	NA	NA	NA	0.488	 74.388	0.464
23	C16_PMA	1.768000	4.026000	5.202000	 3.216000	0.348000	 8.388	18.584	3.071	NA	13.383	NA	0.938	  1.171	2.643
24	C16_SEB	0.104000	0.940000	0.731000	 2.953000	NA	 2.807	0.232	5.866	0.230	0.368	NA	0.449	  8.456	0.384
25	C17_72h	0.070577	NA	0.549000	 0.113000	NA	 0.911	NA	NA	NA	NA	NA	0.196	152.676	0.746
26	C17_PMA	0.217000	0.179000	0.170000	 0.115000	NA	NA	3.755	3.940	1.808	2.171	NA	0.540	  0.689	0.372
27	C17_SEB	0.189000	1.154000	0.647000	 2.782000	NA	 0.509	0.167	25.824	0.169	2.003	NA	0.190	 26.331	1.242
28	C18_72h	0.056576	0.020301	0.430000	 0.106000	NA	 1.043	NA	NA	NA	NA	NA	0.217	151.027	0.549
29	C18_PMA	2.440000	2.360000	1.316000	 1.270000	NA	 4.213	2.132	11.624	0.680	78.702	NA	0.368	  2.344	4.248
30	C18_SEB	0.131000	0.525000	0.322000	 1.194000	NA	 4.222	0.113	21.496	NA	1.584	NA	0.258	 14.453	0.575
31	C19_72h	0.114000	0.059156	0.687000	 0.714000	NA	 0.456	NA	NA	NA	NA	NA	0.493	 61.166	0.336
32	C19_PMA	1.310000	2.578000	1.780000	 1.806000	NA	 2.061	3.541	1.232	0.356	0.641	NA	0.720	  0.526	0.700
33	C19_SEB	0.175000	2.111000	0.090978	10.751000	NA	 0.824	0.142	1.611	NA	0.03013	NA	1.349	  9.667	0.296
34	C2_72h	0.099718	0.040349	1.804000	 0.404000	0.483000	 0.115	NA	NA	NA	NA	0.795000	0.317	 45.876	1.149
35	C2_PMA	0.819000	1.000000	2.484000	 0.741000	0.221000	 1.397	14.625	6.785	10.840	8.800	2.189000	0.236	  0.660	0.883
36	C2_SEB	0.065516	0.680000	0.691000	 1.690000	0.274000	 1.257	0.263	3.143	0.551	0.586	0.030248	0.289	 10.159	0.381
37	C20_72h	0.076609	0.032502	1.113000	 0.254000	NA	 1.244	NA	NA	NA	NA	NA	0.349	 63.838	0.920
38	C20_PMA	2.088000	2.081000	1.776000	 1.296000	NA	 3.184	37.940	20.398	12.679	10.820	NA	0.444	  0.999	2.076
39	C20_SEB	0.186000	1.390000	0.564000	 4.251000	NA	 2.350	0.298	5.704	0.211	0.520	NA	0.437	 10.291	0.676
40	C21_72h	0.015121	0.009125	0.774000	 0.148000	NA	 3.044	NA	NA	NA	NA	NA	0.249	131.507	0.354
41	C21_PMA	0.923000	1.039000	2.627000	 0.948000	NA	 1.365	1.866	0.357	2.237	22.187	0.149000	0.871	  5.913	3.092
42	C21_SEB	0.176000	0.916000	1.503000	 2.828000	NA	 2.608	0.214	5.071	0.323	1.099	NA	0.683	 14.774	0.958
43	C22_72h	0.052410	0.032255	0.642000	 0.519000	NA	 0.962	NA	NA	NA	NA	NA	0.395	 54.885	0.475
44	C22_PMA	1.506000	2.394000	1.821000	 2.095000	NA	 3.878	4.629	5.007	4.683	13.171	NA	0.741	  1.608	1.458
45	C22_SEB	0.082127	1.003000	0.427000	 4.435000	NA	 1.605	0.453	4.700	0.208	1.290	NA	0.485	  9.389	0.257
46	C23_72h	0.021300	0.012931	0.374000	 0.120000	0.204000	 1.177	0.000174	0.000357	NA	NA	NA	0.276	 89.926	0.210
47	C23_PMA	1.236000	1.886000	1.132000	 1.323000	NA	 4.199	2.139	0.978	3.291	23.719	NA	0.491	  5.892	3.275
48	C23_SEB	0.105000	1.067000	0.426000	 4.277000	0.151000	 2.307	0.779	14.795	1.086	0.683	NA	0.560	  9.622	0.537
52	C25_72h	0.056471	0.069976	0.663000	 0.437000	NA	 3.617	NA	NA	NA	NA	NA	0.364	100.892	0.357
53	C25_PMA	0.792000	1.939000	0.885000	 1.325000	NA	 4.490	0.758	0.125	0.304	8.893	NA	0.372	  2.170	1.485
54	C25_SEB	0.066354	1.601000	0.636000	 5.978000	0.256000	 0.941	0.355	2.214	0.027824	0.258	0.026768	0.582	 14.822	0.519
55	C3_72h	0.098255	0.559000	0.439000	 0.843000	NA	 0.254	NA	NA	NA	NA	0.000483	0.343	 25.060	0.460
56	C3_PMA	1.353000	2.660000	3.287000	 1.215000	0.414000	 5.839	6.345	2.726	3.437	3.287	0.626000	0.441	NA	0.841
57	C3_SEB	0.067094	0.716000	0.733000	 1.581000	NA	 1.027	0.310	3.383	NA	0.418	NA	0.223	  7.508	NA
58	C4_72h	0.030963	0.019915	1.444000	 0.214000	0.340000	 0.238	NA	0.000489	NA	NA	0.000032	0.241	 75.828	0.639
59	C4_PMA	0.522000	1.883000	2.436000	 0.836000	0.395000	 1.838	6.097	1.000	3.712	8.532	1.000000	0.270	  0.917	1.416
60	C4_SEB	0.054196	0.644000	0.895000	 0.940000	0.168000	 1.171	0.358	1.051	0.149	0.516	0.052556	0.143	  7.195	0.279
61	C5_72h	0.024484	0.018937	0.524000	 0.123000	0.283000	 1.488	NA	NA	NA	NA	0.000008	0.248	 81.666	0.221
62	C5_PMA	0.452000	1.197000	0.899000	 1.122000	0.361000	 2.076	2.291	0.509	1.616	5.567	0.753000	0.241	  1.218	0.700
63	C5_SEB	0.048597	0.587000	0.547000	 1.305000	0.183000	 1.496	0.429	NA	0.255	0.102	0.091653	0.203	  6.217	0.151
64	C6_72h	0.036889	0.030480	1.956000	 0.131000	0.304000	 2.185	NA	NA	NA	NA	NA	0.278	 94.049	0.310
65	C6_PMA	1.141000	3.373000	4.115000	NA	0.619000	 4.848	15.165	1.580	8.155	6.651	1.252000	0.841	  1.641	1.540
66	C6_SEB	0.076274	1.592000	1.937000	 3.977000	NA	 4.122	0.244	NA	0.208	0.655	0.056943	0.905	 11.778	0.386
67	C7_72h	0.011576	0.020570	0.479000	 0.097937	0.364000	 2.735	NA	0.000124	NA	NA	0.000016	0.199	 94.746	0.107
68	C7_PMA	0.285000	1.293000	0.331000	 0.807000	0.638000	 0.609	0.105	NA	0.214	2.111	0.068172	0.637	  6.165	0.421
69	C7_SEB	0.064465	2.485000	0.474000	 4.497000	0.200000	 1.634	0.681	1.546	0.162	0.317	0.052726	0.308	 10.425	0.180
70	C8_72h	0.029421	0.033664	0.863000	 0.269000	0.228000	 1.162	NA	NA	NA	NA	0.000018	0.279	 47.384	0.248
71	C8_PMA	0.717000	2.197000	2.278000	 1.266000	0.368000	 2.126	14.500	4.183	7.129	15.142	0.728000	0.308	  0.664	0.757
72	C8_SEB	0.051261	0.581000	0.389000	 1.865000	0.163000	 3.064	0.460	3.953	0.499	0.490	0.061854	0.233	  4.075	0.188
73	C9_72h	0.052568	0.065577	0.354000	 0.385000	0.253000	 0.634	NA	0.002728	NA	NA	0.000029	0.344	128.890	0.260
74	C9_PMA	0.850000	1.535000	1.617000	 0.672000	NA	 2.491	1.886	0.419	3.467	4.207	0.525000	0.336	  0.926	0.600
75	C9_SEB	0.116000	1.488000	0.594000	 2.797000	0.123000	 1.192	0.610	1.434	0.353	0.222	0.061911	0.370	  8.517	0.238
