SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
30	P027_SEB	0.153000	1.316000	 0.468000	2.391000	0.129000	2.557000	0.366	5.640	0.098209	1.239	0.025222	0.414000	 11.882	0.309000
31	P028_72h	0.118000	0.088859	 1.309000	0.767000	0.609000	0.519000	NA	NA	NA	NA	0.000143	0.593000	 63.031	1.671000
32	P028_PMA	1.479000	4.630000	 2.831000	3.373000	0.539000	3.582000	33.220	47.264	4.515	16.366	3.472000	0.636000	  1.747	3.612000
33	P028_SEB	0.124000	1.088000	 0.560000	2.879000	0.165000	2.360000	0.947	20.535	0.261	0.703	0.124000	0.368000	  8.519	0.601000
34	P029_72h	0.126000	0.029846	 1.076000	0.264000	0.126000	2.881000	NA	NA	NA	NA	NA	0.359000	158.170	0.675000
35	P029_PMA	1.912000	3.546000	 4.019000	6.497000	0.522000	7.464000	18.235	6.644	5.913	21.382	0.921000	0.802000	  3.030	3.474000
36	P029_SEB	0.138000	1.149000	 1.353000	3.449000	0.321000	1.613000	0.173	4.057	0.098186	1.086	0.078618	0.465000	 11.382	0.774000
37	P030_72h	0.096589	0.038208	 1.343000	0.415000	0.267000	1.763000	0.001159	NA	NA	NA	0.000032	0.393000	125.888	0.635000
38	P030_PMA	1.636000	3.052000	 4.395000	3.510000	NA	5.289000	9.326	NA	NA	24.647	NA	0.785000	  1.757	2.471000
39	P030_SEB	0.149000	0.828000	 0.643000	2.105000	0.217000	1.774000	0.120	3.375	0.357	1.382	0.067366	0.412000	  7.906	0.606000
40	P031_72h	0.065320	0.017185	 1.652000	0.235000	0.271000	1.458000	NA	NA	NA	NA	0.000029	0.261000	158.134	0.515000
41	P031_PMA	2.228000	4.410000	12.401000	7.859000	0.605000	3.690000	27.569	13.753	9.290	8.767	1.076000	0.920000	  4.470	5.208000
42	P031_SEB	0.104000	0.949000	 1.730000	2.079000	0.196000	0.929000	0.569	14.898	0.882	0.440	0.120000	0.401000	  8.785	0.679000
43	P032_72h	0.088286	0.038252	 0.841000	1.137000	0.329000	0.619000	NA	NA	NA	NA	NA	0.446000	134.333	0.800000
44	P032_PMA	1.155000	1.403000	 1.211000	1.661000	0.366000	1.720000	7.735	5.320	9.275	17.089	0.889000	0.500000	  1.649	2.066000
45	P032_SEB	0.115000	0.658000	 0.745000	2.321000	0.189000	4.337000	0.593	10.205	0.494	1.927	NA	0.339000	 10.154	0.434000
46	P033_72h	0.033200	0.044718	 2.187000	0.265000	0.220000	1.497000	0.002157	NA	NA	NA	0.000049	0.539000	 71.374	1.552000
47	P033_PMA	1.763000	4.741000	 3.679000	1.948000	0.191000	4.911000	4.632	1.045	2.905	7.584	0.706000	0.582000	  1.331	3.641000
48	P033_SEB	0.137000	2.588000	 1.041000	3.908000	NA	1.911000	1.210	6.254	0.230	0.442	0.130000	0.961000	 14.898	1.114000
49	P034_72h	0.046974	0.040536	 1.498000	0.290000	0.356000	1.635000	NA	NA	NA	NA	0.000069	0.511000	141.076	0.720000
50	P034_PMA	0.910000	2.688000	 3.264000	1.084000	0.359000	4.788000	2.764	2.674	1.841	4.237	0.681000	0.653000	  3.167	2.887000
51	P034_SEB	0.098698	1.477000	 0.690000	1.822000	0.144000	2.527000	1.247	16.011	0.247	0.256	0.047257	0.465000	 10.868	0.438000
52	P035_72h	0.039345	0.045975	 1.042000	0.512000	NA	1.819000	NA	NA	NA	NA	0.000047	0.776000	107.734	0.612000
53	P035_PMA	0.955000	2.689000	 1.649000	2.361000	NA	1.943000	8.687	NA	5.030	16.549	NA	1.106000	NA	2.489000
54	P035_SEB	0.208000	1.631000	 0.831000	3.297000	NA	2.912000	0.671	10.824	0.455	1.519	NA	0.439000	 14.400	0.719000
55	P1_72h	0.010141	0.018347	 0.204000	0.135000	0.296000	3.570000	NA	NA	NA	NA	0.000005	0.133000	 64.609	0.169000
56	P1_PMA	1.133000	3.173000	 0.679000	2.605000	0.254000	3.117000	47.275	35.107	33.052	2.174	0.712000	0.228000	  1.435	1.326000
57	P1_SEB	0.073812	1.786000	 0.116000	3.257000	0.165000	0.327000	0.871	27.922	0.713	0.073074	0.073829	0.194000	 14.410	0.368000
58	P10_72h	0.018036	0.026121	 0.931000	0.136000	0.264000	1.390000	NA	NA	NA	NA	0.000121	0.192000	 80.915	0.401000
59	P10_PMA	0.501000	1.280000	 0.694000	0.743000	NA	0.485000	0.861	0.152	0.448	9.641	0.287000	0.230000	NA	0.943000
60	P10_SEB	0.118000	1.051000	 0.895000	1.381000	NA	1.575000	0.603	7.562	0.075111	0.797	0.037708	0.162000	 12.171	0.220000
61	P11_72h	0.044677	0.043666	 0.783000	0.261000	0.307000	1.597000	NA	0.001514	NA	NA	0.000019	0.259000	 80.990	0.395000
62	P11_PMA	0.322000	1.161000	 0.611000	0.324000	0.290000	1.246000	0.996	0.593	3.004	11.092	0.214000	0.195000	  2.418	0.723000
63	P11_SEB	0.158000	1.542000	 0.511000	1.552000	NA	0.897000	0.134	2.231	0.062457	1.325	0.015636	0.203000	 12.900	0.190000
64	P12_72h	0.053859	0.020499	 0.673000	0.165000	NA	0.986000	NA	0.000563	NA	NA	0.000062	0.285000	 49.832	0.309000
65	P12_PMA	0.761000	2.312000	 3.546000	2.001000	0.172000	2.245000	14.042	11.207	2.267	1.145	0.552000	0.220000	  1.396	0.878000
66	P12_SEB	0.067017	0.740000	 1.220000	2.984000	0.192000	1.204000	0.160	10.038	0.589	0.690	0.017154	0.258000	  5.584	0.534000
67	P13_72h	0.076028	0.025809	 0.478000	0.222000	NA	0.288000	NA	0.000795	0.010278	NA	0.000070	0.224000	 62.322	0.225000
68	P13_PMA	0.632000	0.883000	 1.209000	0.479000	0.321000	0.957000	3.432	3.319	8.899	5.230	NA	0.390000	  1.065	0.532000
69	P13_SEB	0.063740	0.678000	 0.319000	0.579000	0.133000	2.041000	0.338	9.159	0.689	0.291	0.082870	0.199000	  6.246	0.124000
70	P14_72h	0.019750	0.021246	 0.625000	0.137000	0.328000	1.500000	NA	NA	NA	NA	0.000120	0.276000	 68.167	0.267000
71	P14_PMA	0.320000	0.948000	 0.836000	NA	0.188000	NA	0.133	0.230	NA	2.850	0.321000	0.311000	  5.312	0.647000
72	P14_SEB	0.064183	1.659000	 0.704000	1.636000	0.211000	1.793000	0.748	13.223	0.478	0.608	0.130000	0.259000	  6.788	0.230000
73	P15_72h	0.023908	0.026682	NA	0.105000	NA	0.762000	NA	NA	NA	NA	0.000028	0.143000	NA	0.125000
74	P15_PMA	0.649000	1.646000	 1.006000	1.465000	0.262000	1.954000	4.147	2.218	NA	10.261	0.706000	0.376000	  1.827	0.654000
75	P15_SEB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	P16_72h	0.041045	0.029811	 1.280000	0.378000	0.192000	0.354000	NA	NA	NA	NA	0.000046	0.308000	 40.439	0.455000
77	P16_PMA	0.608000	1.610000	 1.733000	0.676000	0.027760	2.305000	4.945	NA	6.910	1.957	1.572000	0.361000	  0.697	1.040000
78	P16_SEB	0.060469	0.465000	 0.517000	1.269000	0.124000	1.639000	0.562	10.544	0.820	0.167	0.102000	0.215000	  4.527	0.266000
79	P17_72h	0.038146	0.021884	 0.462000	0.098005	NA	1.112000	NA	0.002657	NA	NA	NA	0.142000	 41.846	0.164000
80	P17_PMA	0.681000	2.772000	 0.956000	1.848000	0.444000	2.275000	4.412	8.670	4.908	2.945	1.416000	0.265000	NA	0.794000
81	P17_SEB	0.051856	0.551000	 0.198000	1.154000	0.154000	1.407000	0.318	15.886	0.831	0.249	0.044062	0.218000	  3.890	0.207000
82	P2_72h	0.057247	0.035403	 1.251000	0.387000	0.531000	0.402000	NA	NA	NA	NA	0.000079	0.242000	 73.908	0.579000
83	P2_PMA	0.927000	1.966000	 3.122000	1.529000	0.525000	0.963000	2.257	3.767	8.006	12.488	1.268000	0.341000	  3.054	1.751000
84	P2_SEB	0.059733	0.744000	 0.460000	0.570000	0.160000	1.361000	0.05324	2.406	0.392	0.483	0.047928	0.124000	 10.517	0.267000
85	P3_72h	0.001407	0.000966	 0.011049	0.007044	0.029286	0.071199	NA	NA	NA	NA	0.000008	0.003931	 13.300	0.008502
86	P3_PMA	0.272000	0.580000	 0.253000	0.250000	0.327000	NA	0.693	4.331	NA	11.711	0.420000	0.061327	NA	0.708000
87	P3_SEB	0.020987	0.192000	 0.027242	0.230000	0.054788	0.240000	0.072846	13.232	0.026774	0.329	0.036356	0.029564	  2.990	0.049048
88	P4_72h	0.058802	0.046477	 0.794000	0.242000	0.334000	2.372000	NA	0.003559	NA	NA	0.000022	0.230000	 53.076	0.373000
89	P4_PMA	0.944000	3.052000	 1.743000	1.202000	0.328000	2.594000	35.994	24.653	24.801	5.367	2.122000	0.252000	NA	1.362000
90	P4_SEB	0.085952	1.075000	 0.532000	2.264000	0.191000	1.222000	0.121	3.957	0.212	0.616	0.029097	0.209000	  5.271	0.490000
91	P5_72h	0.013805	0.013773	 0.215000	0.137000	0.348000	1.640000	NA	NA	NA	NA	0.000027	0.183000	117.975	0.145000
92	P5_PMA	0.268000	0.333000	 0.160000	0.254000	1.143000	1.137000	0.246	0.840	0.572	1.374	0.158000	0.766000	 15.539	0.955000
93	P5_SEB	0.059540	1.845000	 0.251000	1.342000	0.165000	0.566000	1.987	12.009	0.407	0.363	0.068346	0.189000	 20.483	0.269000
94	P6_72h	0.038014	0.014475	 0.555000	0.124000	0.446000	1.288000	NA	NA	NA	NA	0.000042	0.291000	124.673	0.494000
95	P6_PMA	0.957000	1.275000	 0.535000	1.045000	0.596000	1.622000	0.520	1.040	0.431	6.959	0.719000	0.407000	  4.609	0.896000
96	P6_SEB	0.065714	1.219000	 0.346000	0.820000	0.172000	0.787000	0.310	6.422	0.192	0.501	0.034831	0.159000	 15.451	0.199000
97	P7_72h	0.133000	0.038875	 1.846000	0.402000	0.410000	0.189000	NA	NA	NA	NA	0.000023	0.521000	 37.168	0.929000
98	P7_PMA	0.754000	1.370000	 2.654000	1.385000	0.351000	1.584000	48.335	102.419	67.104	18.057	2.786000	0.211000	  0.532	0.873000
99	P7_SEB	0.069268	0.511000	 0.784000	1.571000	0.202000	2.656000	0.293	12.438	1.983	0.603	0.141000	0.214000	  4.997	0.443000
100	P8_72h	0.060960	0.089395	 1.367000	0.490000	0.205000	1.200000	NA	NA	NA	NA	NA	0.218000	 65.936	0.540000
101	P8_PMA	1.505000	4.690000	 1.252000	4.702000	0.347000	4.274000	10.360	8.914	9.120	15.191	0.470000	0.313000	  3.047	2.459000
102	P8_SEB	0.098846	1.321000	 0.418000	2.004000	NA	0.198000	0.611	16.858	0.797	0.376	0.018432	0.186000	 13.426	0.411000
103	P9_72h	0.147000	0.147000	 1.581000	0.768000	0.543000	0.541000	NA	0.068893	NA	NA	0.000121	0.397000	 53.421	0.642000
104	P9_PMA	1.442000	3.252000	 1.886000	2.165000	0.336000	5.205000	12.641	13.159	6.916	5.447	0.753000	0.209000	  1.367	0.600000
105	P9_SEB	0.112000	1.137000	 0.645000	1.953000	0.181000	1.896000	0.407	8.513	0.392	0.660	0.080437	0.259000	 10.901	0.294000
